name_of_city,state_name,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,total_graduates,latitude,longitude
Greater Mumbai ,MAHARASHTRA,12478447,6736815,5741632,1139146,599007,540139,10237586,5727774,4509812,852,902,90.28,1802371,19.0760,72.8777
Delhi ,NCT OF DELHI,11007835,5871362,5136473,1209275,647938,561337,8583105,4776490,3806615,875,866,87.6,2221137,28.7041,77.1025
Bengaluru,KARNATAKA,8425970,4401299,4024671,862493,444639,417854,6775942,3664959,3110983,914,940,89.59,1591163,12.9716,77.5946
Greater Hyderabad ,ANDHRA PRADESH,6809970,3500802,3309168,725816,373794,352022,5047705,2688111,2359594,945,942,82.96,1164149,17.3850,78.4867
Ahmadabad ,GUJARAT,5570585,2935869,2634716,589076,317917,271159,4464303,2459823,2004480,897,853,89.62,769858,23.022505,72.5713621
Chennai ,TAMIL NADU,4681087,2357633,2323454,418541,213084,205457,3850472,2004498,1845974,986,964,90.33,879695,13.0826802,80.2707184
Kolkata ,WEST BENGAL,4486679,2362662,2124017,300052,155475,144577,3648210,1966122,1682088,899,930,87.14,818476,22.572646,88.363895
Surat ,GUJARAT,4462002,2538243,1923759,531522,293208,238314,3499228,2082588,1416640,758,813,89.03,278795,21.1702401,72.8310607
Pune ,MAHARASHTRA,3115431,1602137,1513294,324572,171152,153420,2556743,1361257,1195486,945,896,91.61,656508,18.5204303,73.8567437
Jaipur ,RAJASTHAN,3073350,1619280,1454070,378788,204320,174468,2272724,1282140,990584,898,854,84.34,533148,26.9124336,75.7872709
